MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.017578 s         4/13/2017 11:15:12 AM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
0.026367188 47.4599 0.0068862736 0.00021118518
0.036132813 49.905479 0.0068990886 0.00034763588
0.045898438 49.026459 0.0068479776 0.0002013788
0.055664063 47.981888 0.0068627298 0.00014856474
0.065429688 48.00856 0.006852448 0.00013254343
0.075195313 53.68367 0.0069075823 0.00034803554
0.084960938 64.183022 0.0069643557 8.387999e-05
0.094726563 75.348167 0.0070141256 3.6351372e-05
0.10449219 78.495888 0.0070744753 0.00028856928
0.11425781 82.683563 0.0070632994 0.00013373142
0.12402344 90.138023 0.0071233511 0.0001719853
0.13378906 109.49686 0.0072391331 4.4435361e-05
0.14355469 130.41333 0.0073193014 0.00017479211
0.15332031 140.28699 0.0074012578 0.00025337338
0.16308594 144.65347 0.0074517727 0.00010165854
0.17285156 147.52895 0.0074750185 0.00013136736
0.18261719 159.79961 0.0075305998 9.3848626e-05
0.19238281 176.14931 0.0076234341 0.00024705668
0.20214844 191.98209 0.0077036023 2.7630764e-05
0.21191406 198.37633 0.0077788532 -6.8561749e-05
0.22167969 205.56197 0.0078052282 4.0124327e-05
0.23144531 216.1333 0.0078727305 2.9043789e-05
0.24121094 232.66629 0.0079573691 2.058672e-05
0.25097656 238.67563 0.0079616904 -0.00019318161
0.26074219 243.92798 0.0079970062 -0.00011914375
0.27050781 256.19983 0.008110255 -1.8364746e-05
0.28027344 262.04465 0.0081546605 -9.0238835e-05
0.29003906 264.41635 0.0081789494 -0.00013235414
0.29980469 263.66754 0.0081777573 -0.00030513189
0.30957031 276.99768 0.0082318485 -0.00010022488
0.31933594 299.00073 0.008353591 -0.00013886789
0.32910156 322.05432 0.0085148215 -0.00030048858
0.33886719 336.26779 0.0086273253 -0.00021204181
0.34863281 342.69675 0.0086919963 -0.00024195871
0.35839844 344.34988 0.0086660683 -0.00024963432
0.36816406 343.60602 0.0086542964 -0.00041302049
0.37792969 344.50992 0.0086888671 -0.00045152279
0.38769531 346.44156 0.0086894631 -0.0004270178
0.39746094 360.03171 0.0087678432 -0.00047246428
0.40722656 375.48749 0.0088742375 -0.00043698418
0.41699219 389.32697 0.0089323521 -0.00057550508
0.42675781 403.08862 0.0090436637 -0.00040182125
0.43652344 414.41977 0.0091125071 -0.00035063789
0.44628906 425.10898 0.0091677904 -0.00062590465
0.45605469 436.96152 0.0092333555 -0.00058845745
0.46582031 450.0939 0.0093384087 -0.00061730691
0.47558594 458.67352 0.0094138086 -0.00047922321
0.48535156 463.84366 0.0094382465 -0.00062907726
0.49511719 474.26849 0.0095225871 -0.00069168711
0.50488281 484.10013 0.0095680356 -0.00058776763
0.51464844 486.42245 0.0095781684 -0.00060262985
0.52441406 491.37311 0.0096225739 -0.00054427417
0.53417969 501.9151 0.0096976757 -0.00068906916
0.54394531 508.88303 0.0097115338 -0.00056880433
0.55371094 515.36621 0.0097729266 -0.00036847923
0.56347656 516.59186 0.0097513199 -0.00048387385
0.57324219 519.99329 0.0098404288 -0.00047044255
0.58300781 524.25964 0.0098319352 -0.00053178612
0.59277344 535.02899 0.0098951161 -0.00036415353
0.60253906 558.45782 0.010003895 -0.00043669404
0.61230469 569.78839 0.010090321 -0.00046709494
0.62207031 583.92511 0.010159761 -0.00033471009
0.63183594 599.15643 0.010263622 -0.00036028479
0.64160156 606.93268 0.0103046 -0.00024713873
0.65136719 626.63525 0.010481179 -0.00043452843
0.66113281 641.16608 0.01058042 -0.00042324804
0.67089844 645.48389 0.010576099 -0.00028429629
0.68066406 654.67419 0.010640472 -0.00029087605
0.69042969 665.54901 0.010733753 -0.00026078406
0.70019531 674.49493 0.010758936 -0.00038207418
0.70996094 688.11908 0.010850281 -0.00012949646
0.71972656 700.06787 0.010941625 -0.00014933702
0.72949219 708.87866 0.010962635 -0.00034455679
0.73925781 711.50122 0.011009276 -0.00022917915
0.74902344 711.63354 0.01103878 -0.0002339288
0.75878906 708.89264 0.011001229 -0.00010571978
0.76855469 709.24194 0.011003613 -0.00028786209
0.77832031 716.15039 0.011064559 -0.0003381471
0.78808594 735.45874 0.01117602 -0.00016950713
0.79785156 747.82397 0.011237413 -0.00022182206
0.80761719 758.06677 0.011289567 -0.00019510199
0.81738281 765.14838 0.01132071 -0.0003323355
0.82714844 767.13562 0.011380911 -0.00017070748
0.83691406 780.75195 0.011455566 -0.00010354089
0.84667969 787.18127 0.011497736 -0.00024818967
0.85644531 791.84503 0.011533797 -0.00020443172
0.86621094 796.66223 0.011548549 -0.0002651478
0.87597656 800.06573 0.011569709 -0.00023059858
0.88574219 812.62317 0.011661351 -0.0002115711
0.89550781 826.6604 0.011710376 -0.00032355118
0.90527344 849.99261 0.011861026 -0.00019849958
0.91503906 868.53894 0.011977851 -0.00022833537
0.92480469 877.94897 0.012082607 -0.00025272393
0.93457031 883.77417 0.012093186 -0.00045096039
0.94433594 882.91107 0.012044162 -0.00038934418
0.95410156 884.61694 0.012129545 -0.00030091254
0.96386719 893.04865 0.012201667 -0.00036021468
0.97363281 896.51611 0.012165159 -0.00034580257
0.98339844 913.13806 0.012280196 -0.00044134469
0.99316406 931.83423 0.01238957 -0.00026099765
1.0029297 937.08337 0.012454987 -0.00025017286
1.0126953 946.50568 0.0124982 -0.0004105698
1.0224609 962.55066 0.012593865 -0.00033866547
1.0322266 972.93701 0.012700111 -0.0003603815
1.0419922 978.94489 0.012731254 -0.00023884804
1.0517578 978.65674 0.012712479 -0.00042436182
1.0615234 987.86591 0.012715608 -0.00045528612
1.0712891 1004.5776 0.01279816 -0.00030078879
1.0810547 1014.7857 0.012946129 -0.00036122574
1.0908203 1028.4922 0.013001263 -0.0003044082
1.1005859 1037.7341 0.013062954 -0.00045182253
1.1103516 1038.6414 0.013032407 -0.00029828676
1.1201172 1043.6499 0.013097525 -0.00021585371
1.1298828 1061.2744 0.013215244 -0.0003780624
1.1396484 1078.1765 0.013346523 -0.00033591551
1.1494141 1089.5071 0.013352782 -0.00038838675
1.1591797 1094.6858 0.013418645 -0.0002398811
1.1689453 1101.0876 0.013409853 -0.00037063198
1.1787109 1101.33   0.013400465 -0.00044124018
1.1884766 1103.8074 0.013457537 -0.00031425353
1.1982422 1108.9352 0.013495535 -0.00035333517
1.2080078 1119.0909 0.01355052 -0.00041699741
1.2177734 1142.2264 0.013683289 -0.00057681091
1.2275391 1156.3671 0.013799369 -0.0003401578
1.2373047 1170.7765 0.01388073 -0.00037173703
1.2470703 1183.6084 0.013952255 -0.00046495319
1.2568359 1183.6588 0.01392588 -0.00034485562
1.2666016 1182.9418 0.013983399 -0.00054243306
1.2763672 1186.1285 0.013992935 -0.00036209932
1.2861328 1204.7296 0.01409322 -0.00030046291
1.2958984 1223.3618 0.014189184 -0.00055455766
1.3056641 1234.6986 0.014275461 -0.00043645618
1.3154297 1248.4303 0.014339834 -0.00035417252
1.3251953 1259.3302 0.014471114 -0.00024610886
1.3349609 1272.5243 0.014545918 -0.00042236806
1.3447266 1279.9039 0.01455456 -0.000439186
1.3544922 1289.4603 0.014624298 -0.00028997406
1.3642578 1300.2041 0.014718026 -0.00035038768
1.3740234 1310.8662 0.014771223 -0.00032639783
1.3837891 1321.8368 0.014858544 -0.00032908091
1.3935547 1329.4083 0.014887303 -0.000155095
1.4033203 1331.0449 0.01491949 -0.00010453867
1.4130859 1330.9849 0.014931113 -0.00026115531
1.4228516 1328.7238 0.014902055 -0.00021953546
1.4326172 1329.7629 0.01492545 -0.00014519969
1.4423828 1341.6274 0.014936924 -3.9737042e-06
1.4521484 1362.9579 0.015090406 -0.00012844231
1.4619141 1375.3062 0.015157014 -0.0002078128
1.4716797 1383.6194 0.015223622 -6.2090614e-05
1.4814453 1395.424  0.015288144 -7.9089543e-05
1.4912109 1405.8396 0.015346259 -4.4583401e-05
1.5009766 1417.7301 0.015424788 -0.00021251159
1.5107422 1430.4915 0.01549691 -7.9659243e-05
1.5205078 1440.4601 0.015570819 1.4202669e-05
1.5302734 1445.0013 0.015592128 -9.5844181e-05
1.5400391 1451.4991 0.015672594 -8.9674628e-05
1.5498047 1466.8757 0.015737861 -0.00014592157
1.5595703 1479.1208 0.01583159 1.4965327e-05
1.5693359 1493.6298 0.015858412 -7.1357092e-05
1.5791016 1503.2938 0.01596123 -0.00017290976
1.5888672 1502.4799 0.015970916 -8.4509273e-05
1.5986328 1505.5782 0.015979707 -7.0954222e-05
1.6083984 1526.0867 0.016097873 2.32189e-06
1.6181641 1540.2441 0.016190112 -0.00016644457
1.6279297 1548.5037 0.016240925 -0.00014619794
1.6376953 1551.8007 0.016273111 -0.00014254828
1.6474609 1560.6237 0.016240627 -0.00021778006
1.6572266 1574.6855 0.016414374 -0.00022715241
1.6669922 1586.166  0.016491264 -0.00031011619
1.6767578 1594.3011 0.016519427 -0.00013223589
1.6865234 1597.1077 0.016557723 -0.00010764338
1.6962891 1595.6273 0.016514659 -0.00039789517
1.7060547 1601.0826 0.016538501 -0.00033559007
1.7158203 1619.575  0.016701072 -0.00035042936
1.7255859 1632.6993 0.01678586 -0.0002190918
1.7353516 1637.1837 0.016785413 -0.0004107765
1.7451172 1644.3801 0.016817451 -0.00059172715
1.7548828 1651.0126 0.016844571 -0.00043175969
1.7646484 1656.9889 0.016919225 -0.00046021544
1.7744141 1661.7041 0.0169608 -0.00042501997
1.7841797 1675.455  0.017012656 -0.00069180486
1.7939453 1692.5328 0.017139465 -0.00053936639
1.8037109 1707.9517 0.017223805 -0.00046823203
1.8134766 1722.5736 0.017299056 -0.00062544178
1.8232422 1735.3448 0.017364919 -0.00061332132
1.8330078 1738.9926 0.017417669 -0.00063940708
1.8427734 1741.4198 0.017445832 -0.0004657745
1.8525391 1748.5291 0.017493069 -0.00061258249
1.8623047 1761.7402 0.017564297 -0.00070134271
1.8720703 1772.0172 0.017638952 -0.00056322239
1.8818359 1777.2894 0.017644316 -0.00059578568
1.8916016 1780.8295 0.017691851 -0.00052311592
1.9013672 1788.2294 0.017776042 -0.00069795887
1.9111328 1793.6099 0.017800629 -0.00061550568
1.9208984 1800.8303 0.017831028 -0.00047890423
1.9306641 1810.5537 0.017848015 -0.0006471033
1.9404297 1817.1665 0.017895699 -0.00064084708
1.9501953 1822.7736 0.01796037 -0.00070130196
1.9599609 1835.2496 0.018028617 -0.00064301916
1.9697266 1848.1495 0.018066168 -0.00065478298
1.9794922 1868.9576 0.018187761 -0.00078071962
1.9892578 1882.2089 0.018267781 -0.00073905394
1.9990234 1890.3964 0.01832217 -0.00082860072
2.0087891 1893.8887 0.018343925 -0.00070755539
2.0185547 1904.9015 0.018441975 -0.00077530724
2.0283203 1919.3982 0.018523782 -0.00092230126
2.0380859 1927.5293 0.018545091 -0.00077122537
2.0478516 1931.0684 0.01862213 -0.00081434764
2.0576172 1940.7813 0.018649548 -0.00080655556
2.0673828 1945.0859 0.018680394 -0.00090986321
2.0771484 1951.0372 0.018725544 -0.00075859157
2.0869141 1958.8867 0.018796772 -0.00071348983
2.0966797 1963.6069 0.01883164 -0.00085325056
2.1064453 1985.5353 0.018926412 -0.00081594038
2.1162109 2004.0383 0.019066334 -0.00084524811
2.1259766 2011.2141 0.019125491 -0.00070508773
2.1357422 2020.4689 0.019170195 -0.00085756066
2.1455078 2025.3668 0.019204468 -0.00092123431
2.1552734 2038.292  0.019286871 -0.00080418377
2.1650391 2049.2273 0.019378364 -0.00082292338
2.1748047 2053.3938 0.019351989 -0.0007810808
2.1845703 2054.8499 0.019412637 -0.00101677
2.1943359 2057.3591 0.019444376 -0.00093706365
2.2041016 2062.3728 0.019429177 -0.00085646706
2.2138672 2080.3599 0.019587129 -0.00096216943
2.2236328 2102.637  0.019745676 -0.00093809073
2.2333984 2118.0037 0.019802749 -0.0010050739
2.2431641 2127.854  0.01989454 -0.00084761169
2.2529297 2134.4543 0.019965021 -0.00091195182
2.2626953 2144.3936 0.020011218 -0.0010099469
2.2724609 2148.5442 0.020076931 -0.00091511384
2.2822266 2156.5632 0.020151436 -0.0009438303
2.2919922 2158.3381 0.020170061 -0.00086197245
2.3017578 2157.0952 0.020202994 -0.0010219753
2.3115234 2155.7947 0.020190923 -0.00099785021
2.3212891 2159.2151 0.020232201 -0.0008760643
2.3310547 2162.6472 0.020313263 -0.0009433477
2.3408203 2161.4673 0.020259023 -0.0008623717
2.3505859 2175.6416 0.020415485 -0.00097699813
2.3603516 2193.687  0.020489395 -0.00086540036
2.3701172 2206.3149 0.020584166 -0.0007891616
2.3798828 2217.8159 0.020667465 -0.00086837582
2.3896484 2224.6648 0.020753892 -0.00082281983
2.3994141 2222.7478 0.020806042 -0.00082847883
2.4091797 2219.6899 0.020751206 -0.00072572072
2.4189453 2222.4934 0.020824226 -0.00087208685
2.4287109 2226.5618 0.020848362 -0.0009469763
2.4384766 2233.1162 0.020937622 -0.00080178719
2.4482422 2235.4531 0.020942092 -0.00082126376
2.4580078 2243.1624 0.021039693 -0.00079836207
2.4677734 2248.9121 0.021086633 -0.00081495213
2.4775391 2249.7983 0.021113006 -0.00068201736
2.4873047 2253.9773 0.021196306 -0.0006023274
2.4970703 2268.0681 0.021276919 -0.00074190431
2.5068359 2277.9778 0.021315217 -0.00072030554
2.5166016 2283.0439 0.021399705 -0.0007638848
2.5263672 2291.2625 0.021454394 -0.00047542734
2.5361328 2304.7249 0.021559298 -0.00057768077
2.5458984 2316.2314 0.021636188 -0.00068240234
2.5556641 2322.6914 0.021704137 -0.00056337134
2.5654297 2329.4502 0.021807401 -0.00057090947
2.5751953 2343.1753 0.021893827 -0.00052866532
2.5849609 2353.1396 0.021983385 -0.00057911396
2.5947266 2358.9292 0.022030175 -0.00051830208
