MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/13/2017 12:12:46 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
0.025390625 -2.73332 5.364418e-05 -9.5958712e-06
0.03515625 3.8574636 9.5069408e-05 0.00011020827
0.044921875 6.8113208 9.9316239e-05 -3.4727374e-05
0.0546875 5.9449673 0.00010319054 -9.7957942e-05
0.064453125 3.6396086 5.7071447e-05 4.159407e-05
0.07421875 4.2065978 9.4771385e-05 1.3545599e-06
0.083984375 6.3896179 0.00013023615 5.0254577e-05
0.09375   8.5453691 0.00011153519 -8.8890018e-05
0.10351563 17.351061 0.0001295656 1.4240997e-05
0.11328125 26.929676 0.00018648803 9.2563416e-05
0.12304688 31.631737 0.00021994114 -1.2312983e-05
0.1328125 34.31916  0.0002566725 -7.2355674e-06
0.14257813 46.864895 0.00029742718 -6.2628147e-05
0.15234375 57.967159 0.00037349761 0.00010867264
0.16210938 73.790848 0.00041753054 2.4018222e-05
0.171875  89.538246 0.00051058829 -8.4372521e-05
0.18164063 108.60652 0.00062167645 9.816642e-06
0.19140625 123.10266 0.00072553754 6.4755736e-06
0.20117188 127.87282 0.00072970986 8.1866609e-05
0.2109375 131.78482 0.00077188015 -7.8482153e-05
0.22070313 137.62682 0.00082492828 -6.4648368e-05
0.23046875 146.8627 0.00085934997 6.1915074e-05
0.24023438 157.21367 0.00093147159 1.1938586e-06
0.25      163.71802 0.0010238588 1.3482378e-05
0.25976563 166.55057 0.0010598451 -8.9718902e-05
0.26953125 181.23849 0.0011493266 7.9232719e-05
0.27929688 190.07117 0.001193583 0.0001160531
0.2890625 194.98303 0.0012498349 -4.5474237e-05
0.29882813 196.39491 0.001335144 -1.0923389e-06
0.30859375 191.43118 0.0013629347 -7.541043e-06
0.31835938 190.02199 0.0014181435 0.00013003027
0.328125  194.49725 0.0014965981 -3.3868368e-05
0.33789063 194.24318 0.0015401095 -9.7929304e-05
0.34765625 190.74976 0.0015704334 3.8468672e-05
0.35742188 184.66161 0.0015862286 1.1747979e-05
0.3671875 183.27609 0.0015720725 4.6820271e-05
0.37695313 188.29643 0.001629144 -0.00011248678
0.38671875 199.33461 0.0016975403 3.9886083e-05
0.39648438 206.27469 0.0017595291 0.0001120774
0.40625   210.05122 0.0018396974 -3.8735852e-05
0.41601563 216.81264 0.0019259751 1.5132818e-05
0.42578125 220.72896 0.0019142032 -4.8697395e-05
0.43554688 230.52319 0.0020074099 0.00010493704
0.4453125 239.4642  0.0021277368 7.2303255e-06
0.45507813 246.87813 0.0022492558 -8.3253028e-05
0.46484375 251.97551 0.0023195893 3.5885081e-05
0.47460938 255.76012 0.0023841858 2.7306899e-06
0.484375  258.2027  0.0024536252 7.4000869e-05
0.49414063 264.24884 0.0025535375 -7.9592479e-05
0.50390625 265.49921 0.0026186556 -2.8578716e-05
0.51367188 267.66733 0.002655983 6.3300919e-05
0.5234375 273.19522 0.0027415901 -1.0713704e-06
0.53320313 279.2771 0.0027931482 2.4207282e-05
0.54296875 279.85632 0.0028647482 -8.5081854e-05
0.55273438 280.94531 0.0029099733 8.5865548e-05
0.5625    285.18378 0.0029697269 0.00010553536
0.57226563 290.22067 0.0030938536 -5.0133436e-05
0.58203125 295.7475 0.0031203032 3.4122809e-06
