MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/14/2017 6:53:10 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 4.7755241 6.3925982e-05
0.034179688 5.7949123 6.9588423e-05
0.043945313 6.5574985 5.8710575e-05
0.053710938 7.3588262 5.6773424e-05
0.063476563 7.4606948 0.0001103431
0.073242188 7.8210425 8.5458159e-05
0.083007813 8.4925261 0.00013284385
0.092773438 10.869689 0.00014491379
0.10253906 11.84348 0.00016637146
0.11230469 12.010131 0.00015407801
0.12207031 11.328068 0.00016912818
0.13183594 10.861997 0.00012300909
0.14160156 11.153371 0.00015206635
0.15136719 11.022333 0.00011362135
0.16113281 11.300742 0.00010900199
0.17089844 11.811387 0.00016234815
0.18066406 13.123173 0.00021524727
0.19042969 15.235338 0.0002425909
0.20019531 18.329323 0.00030100346
0.20996094 20.872765 0.00036150217
0.21972656 25.876425 0.00043638051
0.22949219 30.750277 0.00056996942
0.23925781 35.301224 0.00064469874
0.24902344 37.984364 0.00072151423
0.25878906 41.127316 0.00079706311
0.26855469 43.56617 0.00085428357
0.27832031 46.577751 0.00091597438
0.28808594 48.076958 0.00094160438
0.29785156 47.8176  0.000975281
0.30761719 50.49115 0.00103347
0.31738281 52.699486 0.0010304153
0.32714844 52.868946 0.0010634214
0.33691406 52.726921 0.0010661781
0.34667969 52.109547 0.0010289252
0.35644531 55.23283 0.0011058897
0.36621094 62.773972 0.00118725
0.37597656 68.482491 0.0013053417
0.38574219 71.713173 0.0013950467
0.39550781 75.588448 0.0014961511
0.40527344 82.691757 0.0015689433
0.41503906 87.565331 0.0016450137
0.42480469 89.534821 0.001680851
0.43457031 89.284485 0.0017306209
0.44433594 93.712692 0.001783222
0.45410156 100.9129 0.0019004196
0.46386719 106.39813 0.0019624829
0.47363281 108.21685 0.0019980222
0.48339844 113.5543 0.0020677596
0.49316406 118.23047 0.0021503121
0.50292969 123.49971 0.0021766126
0.51269531 124.80692 0.0022275001
0.52246094 123.78034 0.0021801144
0.53222656 128.19212 0.002252385
0.54199219 132.60793 0.0023529679
0.55175781 135.8369 0.0023836643
0.56152344 140.99713 0.0024366379
0.57128906 147.16092 0.0025441498
0.58105469 154.4828 0.0025834143
0.59082031 159.35764 0.0026851147
0.60058594 161.14726 0.0026854873
0.61035156 162.7628 0.0027418137
0.62011719 164.06622 0.0027566403
0.62988281 166.6376 0.002758801
0.63964844 168.53053 0.0028277934
0.64941406 178.67026 0.0029359013
0.65917969 186.3853 0.0029569119
0.66894531 189.80391 0.0030212849
0.67871094 194.09724 0.0030739605
0.68847656 200.27631 0.0030549616
0.69824219 210.76505 0.0031585991
0.70800781 222.66295 0.0033067167
0.71777344 234.20401 0.0033648312
0.72753906 247.12181 0.0035016984
0.73730469 258.03091 0.0035871565
0.74707031 271.07715 0.0036673993
0.75683594 282.43469 0.0037895888
0.76660156 295.914  0.0038839132
0.77636719 305.68582 0.0039453059
0.78613281 308.18649 0.0039610267
0.79589844 309.75494 0.0039941072
0.80566406 310.81482 0.0040005893
0.81542969 313.12778 0.0039954484
0.82519531 311.89719 0.0039841235
0.83496094 311.95374 0.0040067732
0.84472656 312.96729 0.003991276
0.85449219 312.04187 0.0039948523
0.86425781 311.59708 0.004048422
0.87402344 312.85602 0.0039978325
0.88378906 313.8822 0.0040046871
0.89355469 316.38211 0.0040709227
0.90332031 326.22195 0.0041003525
0.91308594 340.71341 0.0042256713
0.92285156 355.35089 0.0043455511
0.93261719 360.15375 0.0043809414
0.94238281 366.23013 0.0043979287
0.95214844 381.94281 0.0045134127
0.96191406 398.60223 0.0046338141
0.97167969 411.71436 0.0047374517
0.98144531 427.58148 0.0048305839
0.99121094 438.71994 0.004889667
1.0009766 449.08282 0.0049681216
1.0107422 456.34012 0.0049873441
1.0205078 462.04474 0.0050634146
1.0302734 463.04526 0.0050661713
1.0400391 467.34744 0.0050993264
1.0498047 468.72763 0.0051332265
1.0595703 469.72531 0.0051248074
1.0693359 473.44189 0.0051912665
1.0791016 476.34677 0.0051684678
1.0888672 481.62671 0.0051948428
1.0986328 493.46378 0.0052703172
1.1083984 504.84952 0.0053700805
1.1181641 511.04095 0.0054170191
1.1279297 519.01337 0.0054655224
1.1376953 538.5575  0.005569607
1.1474609 556.13055 0.0057210773
1.1572266 567.76111 0.0057533383
1.1669922 580.90924 0.0058859587
1.1767578 598.87976 0.0059884042
1.1865234 615.26495 0.0061159581
1.1962891 626.02045 0.0062206388
1.2060547 634.37457 0.006255731
1.2158203 644.22205 0.0063157082
1.2255859 657.02496 0.0063953549
1.2353516 668.38654 0.0064379722
1.2451172 675.72803 0.0065204501
1.2548828 678.35028 0.0065452605
1.2646484 678.43091 0.0065270066
1.2744141 690.01178 0.0066354871
1.2841797 699.0257  0.0066849589
1.2939453 710.85712 0.0067685544
1.3037109 715.23535 0.0067831576
1.3134766 717.23981 0.0068224967
1.3232422 718.31317 0.0068512559
1.3330078 718.25818 0.0068321824
1.3427734 718.0495  0.0068229437
1.3525391 722.00226 0.0068289042
1.3623047 730.25165 0.0068632513
1.3720703 734.87225 0.0069141388
1.3818359 741.29004 0.0069460273
1.3916016 754.61176 0.0070629269
1.4013672 758.54022 0.0070920587
1.4111328 772.13922 0.0071712583
1.4208984 778.10297 0.0071874261
1.4306641 784.39282 0.0072374195
1.4404297 788.42706 0.0072769076
1.4501953 793.62708 0.0073099881
1.4599609 809.51099 0.0074082613
1.4697266 825.02808 0.0075451285
1.4794922 837.01367 0.0076363236
1.4892578 850.58527 0.0076843798
1.4990234 862.52679 0.0077734888
