MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/20/2017 8:25:32 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.025390625 11.883843 5.6996942e-05
0.03515625 12.536346 3.4123659e-05
0.044921875 12.351274 4.0009618e-05
0.0546875 12.518615 4.9993396e-05
0.064453125 12.910421 4.1276217e-05
0.07421875 16.649607 7.0184469e-05
0.083984375 20.15654 7.7784061e-05
0.09375   24.509672 0.00015594065
0.10351563 27.269255 0.00017739832
0.11328125 33.107975 0.00021673739
0.12304688 38.930382 0.00022321939
0.1328125 47.467091 0.00028401613
0.14257813 55.48941 0.00037975609
0.15234375 63.124859 0.00043340027
0.16210938 70.936249 0.0005004555
0.171875  77.223999 0.00053137541
0.18164063 86.194351 0.00063255429
0.19140625 96.921768 0.00077039003
0.20117188 102.56403 0.00076822937
0.2109375 104.61095 0.0008187443
0.22070313 110.50776 0.00087760389
0.23046875 114.91693 0.00094205141
0.24023438 122.16582 0.001026541
0.25      126.23244 0.0010815263
0.25976563 126.23325 0.001110211
0.26953125 128.46913 0.0011291355
0.27929688 133.0271 0.0011538714
0.2890625 134.73042 0.001193732
0.29882813 140.15384 0.0012474507
0.30859375 147.53371 0.0013605505
0.31835938 154.15977 0.0014658272
0.328125  157.50815 0.001546219
0.33789063 163.86159 0.0016215444
0.34765625 164.51772 0.0016717613
0.35742188 168.36017 0.0017111003
0.3671875 172.64586 0.0017623603
0.37695313 179.00172 0.0018591434
0.38671875 185.38773 0.0019571185
0.39648438 182.96312 0.0019605458
0.40625   191.2776  0.0019899756
0.41601563 196.51004 0.0020918995
0.42578125 198.21278 0.0021404773
0.43554688 201.25165 0.0021850318
0.4453125 203.48839 0.0021936744
0.45507813 209.40411 0.002246201
0.46484375 214.77821 0.0023126602
0.47460938 216.30682 0.0023671985
0.484375  222.51114 0.0023938715
0.49414063 229.48232 0.0024496019
0.50390625 239.79855 0.0025725365
0.51367188 248.94438 0.0026898831
0.5234375 253.64738 0.0027245283
0.53320313 260.38452 0.0028528273
0.54296875 268.03003 0.0029101968
0.55273438 271.76343 0.0029602647
0.5625    276.91629 0.0030340254
0.57226563 278.0864 0.003034398
0.58203125 277.31381 0.0030679256
0.59179688 282.59311 0.0030748546
0.6015625 291.24387 0.0031138211
0.61132813 299.48279 0.0032681972
0.62109375 311.21997 0.0033702701
0.63085938 311.8515 0.0033799559
0.640625  315.22067 0.00338763
0.65039063 318.69992 0.0034680963
0.66015625 324.49185 0.0035260618
0.66992188 329.7142 0.0035531819
0.6796875 336.50531 0.003599599
0.68945313 341.02261 0.0036664307
0.69921875 350.23276 0.0037162751
0.70898438 359.64902 0.0038739294
0.71875   365.52631 0.0038634986
0.72851563 370.93991 0.0039148331
0.73828125 372.18402 0.0038984418
0.74804688 377.79633 0.0039637834
0.7578125 384.77881 0.0040365756
0.76757813 394.05466 0.0040644407
0.77734375 406.54532 0.0041280687
0.78710938 420.0835 0.0042797625
0.796875  432.10947 0.0042886287
0.80664063 439.0975 0.0043705106
0.81640625 450.8035 0.0044743717
0.82617188 457.74393 0.0044789165
0.8359375 458.09091 0.0044920295
0.84570313 465.16504 0.0045613945
0.85546875 477.02945 0.0045834482
0.86523438 489.96094 0.0046923012
0.875     509.68839 0.0047994405
0.88476563 519.19983 0.004870221
0.89453125 521.60004 0.0048818439
0.90429688 534.65979 0.0049927086
0.9140625 545.68622 0.0050193816
0.92382813 552.50244 0.0050713867
0.93359375 554.84656 0.0050847232
0.94335938 560.43713 0.0051055104
0.953125  572.95715 0.0052206218
0.96289063 581.9292 0.0052314997
0.97265625 595.94318 0.0053323805
0.98242188 612.32922 0.0054432452
0.9921875 621.37708 0.0054965168
1.0019531 625.89301 0.0055489689
1.0117188 640.53473 0.0055734068
1.0214844 646.06036 0.0056744367
1.03125   654.55157 0.0056764483
1.0410156 668.71198 0.0057833642
1.0507813 682.11652 0.0059060752
1.0605469 690.12354 0.0059200823
1.0703125 705.948   0.0059894472
1.0800781 715.40442 0.006069392
1.0898438 717.78265 0.0060582161
1.0996094 717.77264 0.0061097741
1.109375  725.94379 0.0061006099
1.1191406 738.00671 0.0061845779
1.1289063 746.96228 0.0062768161
1.1386719 757.07245 0.0063465536
1.1484375 765.43872 0.0063304603
1.1582031 777.85968 0.0064299256
1.1679688 791.87067 0.006513074
1.1777344 804.57098 0.0065484643
1.1875    817.54541 0.0066740811
1.1972656 824.80701 0.0067319721
1.2070313 833.42157 0.006775409
1.2167969 845.71997 0.0068443269
1.2265625 862.47357 0.0069307536
1.2363281 872.37689 0.0069862604
1.2460938 876.95605 0.0070100278
1.2558594 889.19366 0.0070793927
1.265625  893.82532 0.0071358681
1.2753906 902.19122 0.0071832538
1.2851563 912.55676 0.0072144717
1.2949219 916.5061  0.0072535127
1.3046875 926.2851  0.0072851032
1.3144531 944.73596 0.0073969364
1.3242188 953.46173 0.0074831396
1.3339844 962.58185 0.0075054169
1.34375   976.48187 0.0076097995
1.3535156 981.04553 0.0076115876
1.3632813 992.91803 0.0077108294
1.3730469 1007.3591 0.0077870488
1.3828125 1017.4542 0.0078603625
1.3925781 1033.1118 0.0079248846
1.4023438 1042.3977 0.0079814345
1.4121094 1048.9187 0.0080371648
1.421875  1058.0786 0.0080524385
1.4316406 1071.1769 0.0081817061
1.4414063 1080.1327 0.0082381815
1.4511719 1087.5972 0.0082153082
1.4609375 1094.8375 0.0082705915
1.4707031 1101.9165 0.0083379447
1.4804688 1114.8616 0.0084242225
1.4902344 1123.0626 0.00846304
1.5       1130.8956 0.0085435808
1.5097656 1135.8011 0.008559674
1.5195313 1139.8165 0.0085711479
1.5292969 1151.5043 0.0085987151
1.5390625 1166.848  0.0087401271
1.5488281 1181.198  0.0088204443
1.5585938 1191.6282 0.008873418
1.5683594 1198.9117 0.0089196861
1.578125  1213.74   0.009009093
1.5878906 1231.8076 0.0091328472
1.5976563 1245.4198 0.009181574
1.6074219 1250.2238 0.009239316
1.6171875 1255.4375 0.0092087686
1.6269531 1266.3663 0.0093217194
1.6367188 1272.5829 0.009360984
1.6464844 1280.7255 0.0093891472
1.65625   1286.2059 0.0094335526
1.6660156 1292.6398 0.0094203651
