MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.014648 s         4/14/2017 7:13:15 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.0234375 -3.6295133 -7.0780516e-05
0.033203125 -2.9089861 -6.4224005e-05
0.04296875 -4.1113605 -8.0019236e-05
0.052734375 -2.8225033 -4.6938658e-05
0.0625    4.6655908 1.2218952e-05
0.072265625 13.672299 0.00013962388
0.08203125 18.121395 0.00022187829
0.091796875 17.333683 0.00024929643
0.1015625 17.906446 0.00023961067
0.11132813 19.285698 0.00020846725
0.12109375 20.678137 0.00024050474
0.13085938 20.017344 0.00024646521
0.140625  18.329079 0.00022917986
0.15039063 18.207933 0.00021740794
0.16015625 20.597818 0.00026121736
0.16992188 27.768257 0.00031888485
0.1796875 33.658836 0.0004068017
0.18945313 36.448483 0.00047966838
0.19921875 34.897049 0.00048235059
0.20898438 37.636959 0.00049337745
0.21875   43.876339 0.00057712197
0.22851563 47.743713 0.00062569976
0.23828125 49.975571 0.00064924359
0.24804688 50.041843 0.00072047114
0.2578125 55.729729 0.00076964498
0.26757813 60.957237 0.00081628561
0.27734375 66.462364 0.00088378787
0.28710938 68.133904 0.00093609095
0.296875  66.363937 0.00097185373
0.30664063 69.005028 0.0010032952
0.31640625 71.606354 0.0010161102
0.32617188 80.817657 0.0011205673
0.3359375 85.297951 0.0012005866
0.34570313 89.136902 0.001244247
0.35546875 90.907684 0.0013202429
0.36523438 98.378937 0.001385361
0.375     101.75278 0.0014270842
0.38476563 102.70438 0.0014156103
0.39453125 106.81336 0.0014932454
0.40429688 110.07742 0.0015209615
0.4140625 115.12303 0.0015860796
0.42382813 121.96117 0.0016701221
0.43359375 125.06357 0.0017258525
0.44335938 126.32781 0.0017437339
0.453125  127.58048 0.0017462671
0.46289063 133.10439 0.0018076599
0.47265625 143.32289 0.0019416213
0.48242188 146.16237 0.0019979477
0.4921875 148.23915 0.0020228326
0.50195313 162.85562 0.0020976365
0.51171875 179.27515 0.0022873282
0.52148438 184.97263 0.0022770464
0.53125   184.98065 0.0023248792
0.54101563 189.97661 0.002348572
0.55078125 196.06525 0.0024069846
