MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/20/2017 8:37:55 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 -5.2580981 -4.4256449e-05
0.034179688 -4.8097782 -3.4496188e-05
0.043945313 -3.0339324 -3.9711595e-05
0.053710938 -0.6987527 -2.5480986e-05
0.063476563 2.335403 -9.3132257e-06
0.073242188 2.4540908 -2.5033951e-05
0.083007813 5.5769458 2.4437904e-05
0.092773438 11.09561 5.4463744e-05
0.10253906 21.583103 0.0001078099
0.11230469 27.76619 0.00016093254
0.12207031 34.903584 0.00023566186
0.13183594 42.259506 0.00032067299
0.14160156 49.330887 0.00038839877
0.15136719 56.764561 0.00047266483
0.16113281 62.794907 0.00048674643
0.17089844 69.149994 0.00053450465
0.18066406 79.937347 0.00066436827
0.19042969 87.098068 0.00075362623
0.20019531 92.406868 0.00083193183
0.20996094 94.36805 0.00087365508
0.21972656 100.63879 0.00091075897
0.22949219 103.20701 0.00090651214
0.23925781 105.46326 0.00097945333
0.24902344 112.11288 0.0010397285
0.25878906 117.74239 0.0011095405
0.26855469 122.08856 0.001129806
0.27832031 124.37064 0.0011759251
0.28808594 128.27113 0.0012103468
0.29785156 134.47829 0.0012908131
0.30761719 139.08348 0.0013300776
0.31738281 147.34898 0.0013798475
0.32714844 156.48938 0.0015544891
0.33691406 161.01587 0.0016026944
0.34667969 168.13275 0.0016040355
0.35644531 181.41325 0.0017443299
0.36621094 186.04517 0.0018200278
0.37597656 185.84709 0.0018394738
0.38574219 186.62923 0.0018961728
0.39550781 189.73965 0.0018790364
0.40527344 200.0961 0.0019582361
0.41503906 211.659  0.0020558387
0.42480469 220.05972 0.00209786
0.43457031 225.92232 0.0021655858
0.44433594 233.40456 0.0022456795
0.45410156 240.84424 0.0022868067
0.46386719 249.16879 0.0024144351
0.47363281 259.9541 0.0024604797
0.48339844 265.1781 0.0024978817
0.49316406 270.3562 0.0025363266
0.50292969 274.91666 0.002585277
0.51269531 288.06177 0.0026618689
0.52246094 298.81451 0.0027234107
0.53222656 300.99448 0.0027106702
0.54199219 306.46021 0.0027503073
0.55175781 315.0726 0.0027673692
0.56152344 320.85251 0.0028308481
0.57128906 335.40839 0.002925992
0.58105469 347.67932 0.0029468536
0.59082031 372.04919 0.0031339377
0.60058594 384.85645 0.003221333
0.61035156 387.79153 0.0032579899
0.62011719 394.87607 0.0032699108
0.62988281 404.59348 0.0032770634
0.63964844 408.9404 0.0033754855
0.64941406 423.82895 0.0034008175
0.65917969 432.4252 0.0034545362
0.66894531 449.29599 0.00354819
0.67871094 464.60703 0.0036363304
0.68847656 470.23898 0.0036446005
0.69824219 477.28259 0.0037191808
0.70800781 485.08179 0.0037370622
0.71777344 501.00269 0.0037954748
0.72753906 510.45105 0.0038752705
0.73730469 522.5907 0.0039411336
0.74707031 529.87048 0.003965646
0.75683594 537.6261 0.0040152669
0.76660156 553.23621 0.0041389465
0.77636719 565.29083 0.0041622669
0.78613281 572.14063 0.00419043
0.79589844 581.27228 0.0042280555
