MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/13/2017 3:11:26 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
0.024414063 41.914585 2.0712614e-05 -8.5184394e-05
0.034179688 42.149872 2.3692846e-05 -0.00010578767
0.043945313 40.847507 8.7916851e-06 4.9768183e-05
0.053710938 38.664787 3.2782555e-06 -9.3712879e-05
0.063476563 36.931038 -5.0514936e-05 -0.00015967255
0.073242188 37.886948 -1.9818544e-05 -2.8090582e-05
0.083007813 40.216743 5.364418e-05 -5.9014372e-05
0.092773438 42.925327 4.2021275e-05 -3.4604884e-05
0.10253906 46.8722  8.8363886e-05 -0.00017104292
0.11230469 56.376457 0.00014871359 -8.5564861e-05
0.12207031 69.221558 0.00022217631 1.765534e-05
0.13183594 78.60601 0.00027403235 -7.6191965e-05
0.14160156 89.3946  0.00041022897 -8.5095824e-05
0.15136719 95.957069 0.00043302774 -0.00013471693
0.16113281 98.673103 0.00043556094 2.0681911e-05
0.17089844 100.75942 0.00048547983 -2.8207169e-05
0.18066406 112.85514 0.00057309866 -0.00014612805
0.19042969 122.13662 0.00063046813 -7.1438306e-05
0.20019531 133.66475 0.00071570277 -6.8592861e-05
0.20996094 140.79898 0.00085830688 2.2103759e-05
0.21972656 136.53458 0.00082924962 -0.00015011063
0.22949219 132.14648 0.0008648634 -0.00016856409
0.23925781 134.10016 0.00091135502 -1.2422953e-05
0.24902344 138.47649 0.0010067225 -7.9103753e-05
0.25878906 145.69058 0.0011312962 -6.5855093e-05
0.26855469 153.58537 0.0012078881 -0.00017879164
0.27832031 156.62924 0.0013424456 -2.9390743e-05
0.28808594 159.36211 0.001424104 2.8136616e-05
0.29785156 158.9799 0.001462549 -0.00010420944
0.30761719 160.7643 0.0014799833 -9.4132411e-05
0.31738281 162.94121 0.0015878677 -9.3638708e-05
0.32714844 157.54327 0.0015732646 1.6451942e-05
0.33691406 154.96626 0.0014802814 -0.00012035934
0.34667969 160.16663 0.0016282499 -0.00017272409
0.35644531 168.00821 0.001719892 -4.6302619e-05
0.36621094 170.81364 0.0017341971 -6.2872663e-05
0.37597656 175.0332 0.0017885864 -2.6296942e-05
0.38574219 179.74362 0.0018742681 -0.00018184446
0.39550781 182.63936 0.0019101799 -6.5255314e-05
0.40527344 181.27814 0.0019052625 1.2422408e-06
0.41503906 177.46492 0.0019237399 -9.0580688e-05
0.42480469 181.07787 0.0020486116 -8.6941567e-05
0.43457031 185.59352 0.0020477176 -0.00013223643
0.44433594 188.35469 0.0021322072 1.7990922e-05
0.45410156 192.43344 0.0021365285 -3.3996941e-05
0.46386719 203.4147 0.0022339821 -0.00016422618
0.47363281 210.57307 0.0023366511 -6.2596067e-05
0.48339844 216.51118 0.0024171174 -8.4873158e-05
0.49316406 217.5787 0.0025248528 8.6943401e-06
0.50292969 213.55675 0.002527833 -0.0001789886
0.51269531 216.50568 0.0025543571 -0.0001568202
0.52246094 222.91585 0.0026834011 -5.3211024e-06
0.53222656 234.89803 0.0028474629 -7.9459467e-05
0.54199219 235.87271 0.0028987229 -7.0121008e-05
0.55175781 235.34   0.0029249489 -0.00016855371
0.56152344 235.77094 0.0030142069 9.1036836e-06
0.57128906 235.80789 0.0029477477 4.6038338e-05
0.58105469 239.98901 0.0030766428 -0.0001239845
0.59082031 241.17261 0.0031150877 -7.5321856e-05
0.60058594 239.11342 0.0031220913 -9.6456715e-05
0.61035156 235.04912 0.0031463802 4.0551404e-05
0.62011719 237.24779 0.0031879544 -0.00011584719
0.62988281 247.21028 0.0032570958 -0.00017330804
0.63964844 258.5864 0.0033308566 -3.1842199e-05
0.64941406 267.02435 0.0034339726 -7.4150514e-05
0.65917969 268.84586 0.0035299361 -4.265636e-05
0.66894531 265.297  0.0035707653 -0.00017525656
0.67871094 260.4823 0.003555268 -4.6237736e-05
0.68847656 259.23773 0.00352934 1.3716583e-05
0.69824219 263.267  0.0035816431 -8.6073895e-05
0.70800781 266.25693 0.0036209822 -8.1082275e-05
0.71777344 270.01544 0.0036428869 -0.00011479577
0.72753906 273.07986 0.0037138164 2.6370419e-05
0.73730469 284.23636 0.0038248301 -6.4212072e-05
0.74707031 295.38257 0.0040213764 -0.00016192188
0.75683594 296.56873 0.0040628016 -7.2515148e-05
0.76660156 300.74878 0.00410676 -7.9380043e-05
0.77636719 308.91119 0.0042259693 1.7411883e-06
0.78613281 310.8132 0.0043012202 -0.00016317736
0.79589844 311.26111 0.0043824315 -0.00013475955
0.80566406 305.55084 0.0043599308 -1.4479671e-05
0.81542969 304.88074 0.0043736398 -7.3985488e-05
0.82519531 307.95081 0.0044368207 -8.6612825e-05
0.83496094 310.47342 0.0044697523 -0.00017038723
0.84472656 315.9465 0.0045730174 1.1056877e-05
0.85449219 324.75888 0.0046162307 2.5263042e-05
0.86425781 325.02264 0.0046747923 -0.00011362752
0.87402344 322.28766 0.0046499074 -6.9797999e-05
0.88378906 322.22614 0.0047230721 -9.0151399e-05
0.89355469 332.85452 0.0048446655 4.2577703e-05
0.90332031 339.71518 0.0049224496 -0.00013239945
0.91308594 348.89908 0.0050503016 -0.00017495903
0.92285156 354.34497 0.0050847232 -4.9337752e-05
0.93261719 357.21228 0.0052085519 -7.1965122e-05
0.94238281 356.1543 0.0052475929 -3.4852583e-05
0.95214844 353.3432 0.0052830577 -0.00016907528
0.96191406 355.03864 0.0052544475 -4.1333969e-05
0.97167969 355.47333 0.0053337216 3.0681967e-05
0.98144531 353.9595 0.0053809583 -8.7141882e-05
0.99121094 361.07004 0.0053958595 -8.0384809e-05
1.0009766 361.91406 0.0054699183 -0.00012740497
1.0107422 359.21783 0.0054568052 2.0708319e-05
1.0205078 364.40921 0.0055654347 -6.1410057e-05
1.0302734 374.78046 0.0055669248 -0.00016554812
1.0400391 380.57388 0.0057263672 -5.4630465e-05
1.0498047 377.90344 0.0056831539 -6.9679154e-05
1.0595703 376.26401 0.0057333708 4.9266541e-06
1.0693359 388.74908 0.0058346987 -0.00018862347
1.0791016 397.80481 0.0059196353 -0.00012156773
1.0888672 396.84134 0.0059629977 -7.4816325e-07
1.0986328 397.78381 0.0060555339 -7.9750709e-05
1.1083984 400.1066  0.0060859323 -8.9487199e-05
1.1181641 406.42007 0.0061497092 -0.0001765801
1.1279297 416.33606 0.006261915 -1.0377893e-05
1.1376953 420.20023 0.0063811243 1.6118423e-05
1.1474609 423.8233  0.0064520538 -0.00013924943
1.1572266 428.6456  0.0065103173 -9.3205876e-05
1.1669922 428.17905 0.0065341592 -7.3999923e-05
1.1767578 435.62158 0.006647557 1.9656543e-05
