MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/14/2017 1:23:18 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 136.75291 -0.011307448
0.034179688 137.16605 -0.011333376
0.043945313 142.61008 -0.011285394
0.053710938 148.69061 -0.011254251
0.063476563 149.90886 -0.011253953
0.073242188 149.26933 -0.011262149
0.083007813 154.45038 -0.01120612
0.092773438 163.93033 -0.011125356
0.10253906 173.16289 -0.011027008
0.11230469 181.77144 -0.010951608
0.12207031 187.16499 -0.010877252
0.13183594 190.28333 -0.010809749
0.14160156 191.72646 -0.010787547
0.15136719 191.02022 -0.010872036
0.16113281 191.61116 -0.010826886
0.17089844 192.47694 -0.010831803
0.18066406 192.38033 -0.010809898
0.19042969 191.41693 -0.010835677
0.20019531 191.69788 -0.010783076
0.20996094 192.64035 -0.010824502
0.21972656 195.9839 -0.010790229
0.22949219 196.85246 -0.010766238
0.23925781 199.73312 -0.010776371
0.24902344 208.97403 -0.010634363
0.25878906 219.32307 -0.010532737
0.26855469 227.07011 -0.010432005
0.27832031 233.75217 -0.01030758
0.28808594 241.6011 -0.010196716
0.29785156 247.21585 -0.010160059
0.30761719 252.21834 -0.01008004
0.31738281 254.22127 -0.010102689
0.32714844 254.51289 -0.010107458
0.33691406 253.87234 -0.010054857
0.34667969 260.68408 -0.010011643
0.35644531 266.67987 -0.0099614263
0.36621094 272.20374 -0.0098857284
0.37597656 279.97971 -0.0097900629
0.38574219 288.59598 -0.0096856058
0.39550781 295.79944 -0.009573698
0.40527344 304.10571 -0.0094777346
0.41503906 306.94492 -0.0095121562
0.42480469 307.58408 -0.0094810128
0.43457031 312.14169 -0.0094242394
0.44433594 312.86053 -0.0093759596
0.45410156 319.81888 -0.0093315542
0.46386719 328.11844 -0.0092145801
0.47363281 331.67206 -0.0091937184
0.48339844 336.96756 -0.0091007352
0.49316406 339.74106 -0.0090572238
0.50292969 345.83621 -0.0089818239
0.51269531 357.02866 -0.0089098513
0.52246094 366.27686 -0.0087960064
0.53222656 372.82755 -0.008726269
0.54199219 380.15982 -0.0085946918
0.55175781 385.54236 -0.0085636973
0.56152344 391.66528 -0.0084671378
0.57128906 398.80911 -0.0084294379
0.58105469 406.44739 -0.0083877146
0.59082031 414.5686 -0.0082603097
0.60058594 424.00583 -0.0081735849
0.61035156 434.95795 -0.0080545247
0.62011719 442.71426 -0.0079499185
0.62988281 444.43246 -0.0079584122
0.63964844 445.08008 -0.0079232454
0.64941406 450.71619 -0.0078758597
0.65917969 450.31693 -0.0079168379
0.66894531 450.12518 -0.0079128146
0.67871094 450.1395 -0.0078468025
0.68847656 450.18411 -0.0078681111
0.69824219 449.31467 -0.0078684092
0.70800781 450.21985 -0.0078831613
0.71777344 452.04489 -0.007828325
0.72753906 458.51602 -0.007776618
0.73730469 465.92313 -0.0077688694
0.74707031 467.88028 -0.0077058375
0.75683594 470.23889 -0.0076638162
0.76660156 482.06494 -0.0076453388
0.77636719 490.03693 -0.0074999034
0.78613281 495.8399 -0.0074928999
0.79589844 507.86646 -0.0073839724
0.80566406 518.55591 -0.007275641
0.81542969 527.88312 -0.0071848929
0.82519531 540.28943 -0.0070814788
0.83496094 548.17963 -0.0070138276
0.84472656 561.65747 -0.0069373846
0.85449219 573.01703 -0.0068593025
0.86425781 581.505  -0.0067314506
0.87402344 583.53632 -0.0066797435
0.88378906 584.42529 -0.0067088008
0.89355469 593.13153 -0.0066381693
0.90332031 599.21155 -0.0065501034
0.91308594 601.49524 -0.0065477192
0.92285156 600.99188 -0.0065164268
0.93261719 604.55267 -0.0065369904
0.94238281 606.47552 -0.0065335631
0.95214844 613.9267 -0.0064322352
0.96191406 621.15894 -0.0063918531
0.97167969 628.23346 -0.0063055754
0.98144531 636.83807 -0.006224364
0.99121094 642.70856 -0.0061418116
1.0009766 653.40991 -0.0060933828
1.0107422 673.05444 -0.0059239566
1.0205078 680.07599 -0.0058472157
1.0302734 682.69092 -0.005851537
1.0400391 683.03705 -0.0058224797
1.0498047 684.40662 -0.0057891011
1.0595703 684.21741 -0.0057815015
1.0693359 683.81842 -0.0058059394
1.0791016 684.30048 -0.0057905912
1.0888672 696.38599 -0.0057055056
1.0986328 704.6507  -0.0056141615
1.1083984 708.2619  -0.0056308508
1.1181641 718.46552 -0.0055146217
1.1279297 726.40106 -0.0054337084
1.1376953 738.53436 -0.0053311884
1.1474609 750.62738 -0.0052028894
1.1572266 765.97852 -0.0050850213
1.1669922 776.33441 -0.0050216913
1.1767578 786.43085 -0.0048953295
1.1865234 792.47925 -0.0048664212
1.1962891 801.75665 -0.0047697127
1.2060547 814.18158 -0.0046895444
1.2158203 821.73688 -0.0045932829
1.2255859 828.88318 -0.0045396388
1.2353516 831.52502 -0.0044471025
1.2451172 832.9574  -0.004427433
1.2548828 846.0564  -0.0043435395
1.2646484 856.0379  -0.0042420626
1.2744141 862.72693 -0.0041984022
1.2841797 869.14557 -0.0041697919
1.2939453 872.10175 -0.0040949881
1.3037109 877.83722 -0.0040966272
1.3134766 885.19373 -0.0039817393
1.3232422 894.76099 -0.003914237
1.3330078 899.92926 -0.0038599968
1.3427734 902.31256 -0.003824383
1.3525391 906.22614 -0.0037436187
1.3623047 909.88959 -0.003760308
1.3720703 921.72058 -0.003669709
1.3818359 929.8811  -0.0036075711
1.3916016 928.28632 -0.0035855174
1.4013672 926.92773 -0.0035628676
1.4111328 927.89905 -0.003541559
1.4208984 930.98053 -0.0035786629
1.4306641 931.32623 -0.0035265088
1.4404297 930.93195 -0.0035853684
1.4501953 929.51007 -0.0035484135
1.4599609 928.70343 -0.0035880506
1.4697266 930.49237 -0.0035314262
1.4794922 936.46936 -0.0034871697
1.4892578 940.2475  -0.0034999847
1.4990234 942.68829 -0.003477931
1.5087891 946.13123 -0.0033971667
1.5185547 959.0451  -0.0033506751
1.5283203 962.02203 -0.003311336
1.5380859 965.50824 -0.003272295
1.5478516 972.15411 -0.0032484531
1.5576172 974.8465  -0.003182888
1.5673828 979.87537 -0.0031504035
1.5771484 991.52856 -0.0030605495
1.5869141 1007.6065 -0.0029170513
1.5966797 1020.7025 -0.0028516352
1.6064453 1029.3986 -0.0027726591
1.6162109 1039.6395 -0.0026574731
1.6259766 1053.1683 -0.0025014579
1.6357422 1068.3572 -0.0023953617
1.6455078 1079.0815 -0.0023148954
1.6552734 1091.5465 -0.002168566
1.6650391 1103.6583 -0.0020711124
1.6748047 1109.7241 -0.0019882619
1.6845703 1116.0226 -0.0019198656
1.6943359 1126.6498 -0.0018399954
1.7041016 1132.5576 -0.0017917156
1.7138672 1133.0338 -0.0017529726
1.7236328 1135.3705 -0.0017087162
1.7333984 1150.1172 -0.0016340613
1.7431641 1163.2708 -0.0014933944
1.7529297 1179.6747 -0.0014227629
1.7626953 1189.98   -0.0012679398
1.7724609 1198.6417 -0.0011627376
1.7822266 1206.712  -0.0010667741
1.7919922 1219.1653 -0.00097587705
1.8017578 1227.7378 -0.00091895461
1.8115234 1233.0991 -0.00083789229
1.8212891 1228.6519 -0.00085502863
1.8310547 1224.319  -0.00083073974
1.8408203 1221.1938 -0.00090166926
1.8505859 1219.5588 -0.00088065863
1.8603516 1218.4978 -0.00080913305
1.8701172 1216.9688 -0.00086501241
1.8798828 1215.809  -0.00082239509
1.8896484 1223.0549 -0.00077322125
1.8994141 1238.7906 -0.00068962574
1.9091797 1250.9917 -0.00061735511
1.9189453 1249.8865 -0.00060945749
1.9287109 1248.7202 -0.00055938959
1.9384766 1256.4395 -0.00049769878
1.9482422 1262.7798 -0.00043973327
1.9580078 1265.6609 -0.00041007996
1.9677734 1264.2333 -0.00039249659
1.9775391 1275.7567 -0.00024884939
1.9873047 1283.4714 -0.00019818544
1.9970703 1291.7035 -9.3579292e-05
2.0068359 1294.3562 -5.5134296e-05
2.0166016 1292.5583 -1.5199184e-05
2.0263672 1297.0887 2.8461218e-05
2.0361328 1305.7642 0.00013753772
2.0458984 1314.5076 0.00025525689
2.0556641 1318.4545 0.0003489852
2.0654297 1323.2366 0.00036969781
2.0751953 1332.9568 0.00052541494
2.0849609 1333.1638 0.00058323145
2.0947266 1336.6188 0.00069200993
2.1044922 1342.0555 0.00069528818
2.1142578 1345.3348 0.00077590346
2.1240234 1347.3582 0.00085830688
2.1337891 1355.386  0.0009444356
2.1435547 1359.5781 0.00099495053
2.1533203 1364.1851 0.0010888278
2.1630859 1370.5238 0.0011764467
2.1728516 1371.0344 0.0012125075
2.1826172 1375.1643 0.0012718141
2.1923828 1376.6256 0.0013610721
2.2021484 1373.9138 0.0013415515
2.2119141 1381.0759 0.0014305115
2.2216797 1384.7141 0.0014740229
2.2314453 1387.0706 0.0015643239
2.2412109 1388.6385 0.0015416741
2.2509766 1397.1433 0.0016857684
2.2607422 1400.8301 0.001706481
2.2705078 1403.1437 0.0017659366
2.2802734 1405.7277 0.0018246472
2.2900391 1407.1488 0.0018873811
2.2998047 1411.9017 0.0019200146
2.3095703 1423.1172 0.0020000339
2.3193359 1429.2531 0.0021219254
2.3291016 1423.7299 0.0021566451
2.3388672 1419.1335 0.0021606684
2.3486328 1415.3882 0.0021500885
2.3583984 1411.8667 0.0022056699
2.3681641 1408.6959 0.00218153
2.3779297 1407.002  0.0021792948
2.3876953 1410.6425 0.0021716952
2.3974609 1426.587  0.0023192167
2.4072266 1435.8781 0.0023804605
2.4169922 1443.2202 0.0024577975
2.4267578 1439.9845 0.0024788082
2.4365234 1439.4816 0.0025075674
2.4462891 1437.5638 0.0025336444
2.4560547 1437.9401 0.0025266409
2.4658203 1440.7723 0.0025597215
2.4755859 1444.2223 0.0025674701
2.4853516 1450.9823 0.0026845932
2.4951172 1452.0615 0.0026996434
2.5048828 1459.0321 0.002772212
2.5146484 1467.234  0.0028671324
2.5244141 1469.175  0.0029321015
2.5341797 1473.6396 0.0030212104
2.5439453 1476.1808 0.0030945241
2.5537109 1479.6727 0.0031448901
2.5634766 1479.9131 0.0031608343
2.5732422 1487.1941 0.0032861531
2.5830078 1495.3511 0.0033943355
2.5927734 1498.4014 0.0034512579
2.6025391 1494.2599 0.0034749508
2.6123047 1489.8988 0.0034894049
2.6220703 1489.2719 0.0035497546
2.6318359 1494.9272 0.0035867095
2.6416016 1501.6755 0.0036641955
2.6513672 1510.4    0.0037510693
2.6611328 1518.0656 0.0038482249
2.6708984 1527.3311 0.00397861
2.6806641 1526.8888 0.004041642
2.6904297 1526.9789 0.0040525198
2.7001953 1528.0376 0.004132688
2.7099609 1525.9312 0.0041697919
2.7197266 1523.8208 0.0042194128
2.7294922 1531.9341 0.0043059886
2.7392578 1539.8336 0.0043208897
2.7490234 1546.1653 0.0044339895
2.7587891 1551.7854 0.0044813752
2.7685547 1557.1462 0.0045919418
