MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/20/2017 8:54:16 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 31.127407 -1.8924475e-05
0.034179688 32.457489 -1.8179417e-05
0.043945313 33.282375 1.296401e-05
0.053710938 30.899532 -1.385808e-05
0.063476563 30.353516 -3.8444996e-05
0.073242188 32.902954 -2.5480986e-05
0.083007813 37.184208 4.4703484e-06
0.092773438 45.800209 0.00011533499
0.10253906 51.130466 0.00014930964
0.11230469 61.390068 0.00022903085
0.12207031 75.772331 0.00031426549
0.13183594 82.538612 0.00039577484
0.14160156 85.270699 0.00039219856
0.15136719 86.455086 0.00042155385
0.16113281 95.253105 0.00049099326
0.17089844 104.11754 0.00052437186
0.18066406 110.21122 0.00062450767
0.19042969 114.77735 0.00063747168
0.20019531 124.60798 0.0007301569
0.20996094 136.28859 0.00083819032
0.21972656 138.93839 0.00087082386
0.22949219 142.38234 0.00087946653
0.23925781 147.20685 0.0009419024
0.24902344 152.6602 0.00091552734
0.25878906 161.82285 0.00099718571
0.26855469 168.85854 0.0010581315
0.27832031 179.39294 0.0011976063
0.28808594 187.11661 0.0012260675
0.29785156 190.67317 0.0012288988
0.30761719 199.37151 0.0013206899
0.31738281 210.30382 0.0014281273
0.32714844 214.81313 0.0014621019
0.33691406 228.25081 0.0015744567
0.34667969 236.20219 0.0016508996
0.35644531 243.80687 0.0017079711
0.36621094 248.82593 0.0017602742
0.37597656 251.06741 0.0017851591
0.38574219 255.8121 0.0017988682
0.39550781 260.64407 0.0018657744
0.40527344 268.23337 0.0019483268
0.41503906 271.24582 0.0019334257
0.42480469 282.03064 0.0020556152
0.43457031 295.26511 0.0021438301
0.44433594 301.35678 0.0021286309
0.45410156 316.91843 0.0022169948
0.46386719 326.76688 0.0023145974
0.47363281 332.51657 0.0023260713
0.48339844 346.02194 0.0024670362
0.49316406 354.74292 0.0025175512
0.50292969 360.07434 0.0025257468
0.51269531 370.44547 0.0025831163
0.52246094 381.7565 0.0027036667
0.53222656 386.52338 0.0027039647
0.54199219 395.30872 0.0027729571
0.55175781 410.84781 0.0028251112
0.56152344 416.95944 0.0028888881
0.57128906 423.36502 0.0029617548
0.58105469 434.27237 0.0029888749
0.59082031 443.84375 0.0030556321
0.60058594 445.85406 0.0030586123
0.61035156 451.85703 0.0031614304
0.62011719 468.60306 0.0032408535
0.62988281 476.60373 0.0032767653
0.63964844 480.19992 0.0032904744
0.64941406 499.74963 0.0033584237
0.65917969 507.73987 0.0034411252
0.66894531 517.68256 0.003503114
0.67871094 538.84479 0.0036340952
0.68847656 548.66522 0.0037223101
0.69824219 554.94812 0.003746748
0.70800781 565.20721 0.0038148463
0.71777344 567.44135 0.0038075447
0.72753906 576.04272 0.0038476288
0.73730469 585.39423 0.0039790571
0.74707031 597.20538 0.0039564073
0.75683594 601.26324 0.0040701032
0.76660156 609.66669 0.004080683
0.77636719 625.06348 0.0042141974
0.78613281 627.19739 0.0041927397
0.79589844 632.30328 0.0042255223
0.80566406 644.09668 0.0042897463
0.81542969 661.46112 0.0043587387
0.82519531 665.73431 0.0044357777
0.83496094 678.6557 0.0045010448
0.84472656 693.00391 0.004568398
0.85449219 707.34467 0.0046247244
0.86425781 711.17133 0.0046631694
0.87402344 715.29077 0.0047059357
0.88378906 719.77423 0.0047288835
0.89355469 734.69684 0.0047951937
0.90332031 744.1546 0.0048440695
0.91308594 757.19861 0.0049009919
0.92285156 767.39148 0.0049650669
0.93261719 785.35413 0.0050750375
0.94238281 803.05249 0.0052155554
0.95214844 813.34052 0.0052830577
0.96191406 814.59143 0.0052712858
0.97167969 828.37158 0.0053483248
0.98144531 833.9256 0.005376786
0.99121094 848.34131 0.0054986775
1.0009766 856.61627 0.0054819882
1.0107422 868.74426 0.0055786967
1.0205078 874.47107 0.0056017935
1.0302734 883.96393 0.0056612492
1.0400391 896.56128 0.0057321787
1.0498047 911.60474 0.0058057904
1.0595703 917.94269 0.0058305264
1.0693359 922.64264 0.005915612
1.0791016 939.27911 0.0060145557
1.0888672 949.40808 0.0060032308
1.0986328 952.44879 0.0060279667
1.1083984 955.82068 0.006095022
1.1181641 970.27271 0.0061438978
1.1279297 989.99292 0.0062201917
1.1376953 1001.2516 0.0063244998
1.1474609 1019.581  0.0064428151
1.1572266 1023.5125 0.0064694881
1.1669922 1026.2953 0.0064733624
1.1767578 1030.2456 0.0064729154
1.1865234 1040.3529 0.0065651536
1.1962891 1050.2515 0.0065565109
1.2060547 1068.8977 0.0066822767
1.2158203 1084.7827 0.0067971647
1.2255859 1094.9531 0.0068643689
1.2353516 1106.5449 0.0069200993
1.2451172 1113.9838 0.0069756806
1.2548828 1122.3682 0.0070433319
1.2646484 1129.3594 0.0070817769
1.2744141 1137.6077 0.0071161985
1.2841797 1150.7463 0.0072272122
1.2939453 1162.0922 0.0072641671
1.3037109 1174.6025 0.0073520839
1.3134766 1186.1095 0.0074233115
1.3232422 1199.6533 0.0075034797
1.3330078 1204.1833 0.0075528026
1.3427734 1206.7509 0.0075694919
1.3525391 1216.2349 0.0076535344
1.3623047 1226.6075 0.0076384842
1.3720703 1231.6484 0.0077009201
1.3818359 1239.3719 0.0077387691
1.3916016 1251.0566 0.00784114
1.4013672 1268.3867 0.0078913569
1.4111328 1277.5042 0.0079780817
1.4208984 1287.8441 0.0080619752
1.4306641 1288.6613 0.0080727041
1.4404297 1292.5913 0.0081202388
1.4501953 1297.0751 0.0081264973
1.4599609 1302.5326 0.0081722438
1.4697266 1309.3519 0.0082121789
1.4794922 1320.4994 0.0082679093
1.4892578 1332.3292 0.0083443522
1.4990234 1340.2587 0.0084596872
