MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/13/2017 1:46:37 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
0.024414063 35.810619 5.6773424e-05 0.00015386923
0.034179688 35.803688 5.8114529e-05 6.1728613e-05
0.043945313 35.858974 4.6938658e-05 0.00023276455
0.053710938 35.709141 3.0323863e-05 0.00021243043
0.063476563 36.669224 8.5160136e-05 9.5456518e-05
0.073242188 36.898926 5.7667494e-05 0.00015367811
0.083007813 40.349216 8.225441e-05 0.00014467139
0.092773438 46.585949 0.0001552701 0.00024349691
0.10253906 54.794399 0.00018052757 5.6726472e-05
0.11230469 63.632874 0.00028148293 2.7570251e-05
0.12207031 70.301819 0.00031001866 0.00018466053
0.13183594 76.684052 0.00041998923 0.00014198277
0.14160156 85.346626 0.00044636428 0.00015212801
0.15136719 94.68943 0.00053100288 3.1918193e-05
0.16113281 99.024628 0.00056497753 0.0001889244
0.17089844 103.21848 0.00064089894 0.0002525982
0.18066406 108.2585 0.00066056848 0.00010868347
0.19042969 113.75471 0.00075787306 0.00013253739
0.20019531 117.62492 0.00084780157 0.00010675097
0.20996094 121.84232 0.00090569258 0.00024942038
0.21972656 125.49818 0.00091969967 0.00010970599
0.22949219 127.4258 0.0010165572 4.2244479e-05
0.23925781 126.53268 0.0010355562 0.00016893839
0.24902344 127.22961 0.0011350214 0.00013729051
0.25878906 127.33422 0.0011321902 0.00019491254
0.26855469 128.47797 0.0011965632 3.2839031e-05
0.27832031 129.1579 0.0012757629 0.00013626383
0.28808594 130.85223 0.0012569129 0.00022945342
0.29785156 134.7036 0.0013712049 0.00012329785
0.30761719 138.78271 0.0014299899 0.00014097987
0.31738281 141.29608 0.0015233457 8.4288127e-05
0.32714844 143.12059 0.0015708059 0.0002295342
0.33691406 144.7206 0.0016327947 0.000223
0.34667969 147.83092 0.0017231703 9.4261137e-05
0.35644531 148.63446 0.001790747 0.00013821066
0.36621094 149.27789 0.0018205494 0.0001314095
0.37597656 150.93475 0.00184156 0.00023896949
0.38574219 153.78699 0.0019430369 6.8165326e-05
0.39550781 155.54987 0.001995638 4.5822908e-05
0.40527344 157.34561 0.0020392239 0.00019181287
0.41503906 159.32024 0.002110526 0.00014817568
0.42480469 161.4397 0.0021149963 0.00013429992
0.43457031 164.87949 0.0022683293 4.3454107e-05
0.44433594 166.30307 0.0022765249 0.0001883255
0.45410156 167.7899 0.0023704022 0.00025827929
0.46386719 169.67073 0.002432242 9.8689947e-05
0.47363281 171.13425 0.0024393201 0.00013977992
0.48339844 174.26855 0.0025003403 0.00010573475
0.49316406 178.76685 0.0026130676 0.00025448948
0.50292969 180.27893 0.0026988238 0.00013814021
0.51269531 178.84366 0.0027044117 4.0686711e-05
0.52246094 180.3343 0.0027308613 0.00017565294
0.53222656 183.69511 0.0027939677 0.00014770981
0.54199219 185.27969 0.0028711557 0.00017893672
0.55175781 187.55957 0.0028979778 3.99743e-05
0.56152344 191.13316 0.0029619038 0.00013152485
0.57128906 192.52599 0.0030495226 0.00024056886
0.58105469 194.21831 0.0031042844 0.00012557702
0.59082031 196.92033 0.0031527877 0.0001378264
0.60058594 200.36325 0.0032649934 7.4761498e-05
0.61035156 202.2601 0.0032693148 0.00024431644
0.62011719 201.62047 0.0033270568 0.00020994389
0.62988281 204.20528 0.0033714622 8.0055172e-05
0.63964844 205.88167 0.0034419447 0.00015911371
0.64941406 208.14493 0.0034718961 0.00014646362
0.65917969 211.32066 0.0035550445 0.0002477931
0.66894531 213.46227 0.0036022812 9.1082176e-05
0.67871094 216.16824 0.0036994368 5.7340101e-05
0.68847656 217.81505 0.0037486851 0.00019373893
0.69824219 219.75145 0.00383012 0.00015427092
0.70800781 222.16141 0.0038761646 0.00014620685
0.71777344 226.17691 0.0039515644 4.178247e-05
0.72753906 229.18149 0.0039966404 0.0002381425
0.73730469 230.14345 0.0040723383 0.00026168182
0.74707031 229.10452 0.0041113049 0.00010083408
0.75683594 231.80798 0.0041521341 0.0001315767
0.76660156 233.41104 0.0041781366 0.00013255709
0.77636719 235.75478 0.0043167174 0.00027000133
0.78613281 237.33049 0.0043092668 0.00011414201
0.79589844 239.83374 0.0043748319 4.1409723e-05
0.80566406 240.96161 0.0044211745 0.00017093825
