MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.016602 s         4/13/2017 2:32:34 PM
Time      Ch 1 Force Ch 1 Displacement Ch 1 Laser Ext
s         lbf       in        in
0.025390625 25.945232 -0.00011816621 2.7396072e-05
0.03515625 26.916639 -5.2005053e-05 0.00013370116
0.044921875 29.921606 -9.5814466e-05 -4.5197448e-06
0.0546875 33.755974 -4.0382147e-05 -7.2696756e-05
0.064453125 36.538021 -1.7434359e-05 5.7024859e-05
0.07421875 40.585178 8.4936619e-06 2.3308501e-05
0.083984375 42.744503 4.0233135e-06 6.8891743e-05
0.09375   50.749851 3.4719706e-05 -7.6459743e-05
0.10351563 57.861206 5.5134296e-05 4.5706736e-05
0.11328125 68.811104 0.00017270446 0.00011921854
0.12304688 79.492775 0.00026345253 1.0124123e-05
0.1328125 85.957565 0.00025674701 1.5609708e-05
0.14257813 93.330513 0.00031545758 -3.5895308e-05
0.15234375 96.855682 0.00028297305 0.00012117099
0.16210938 99.53804 0.00029608607 6.578242e-05
0.171875  103.75559 0.00035300851 -5.1844323e-05
0.18164063 112.63788 0.00038683414 4.8360598e-05
0.19140625 130.26573 0.00052765012 1.3536575e-05
0.20117188 144.32893 0.00063359737 9.9258905e-05
0.2109375 164.25662 0.0007326901 -6.4264124e-05
0.22070313 181.57318 0.00084325671 -5.0344726e-05
0.23046875 196.2494 0.00090062618 9.0285837e-05
0.24023438 209.11104 0.00096365809 3.0476753e-05
0.25      223.27379 0.0010608137 4.6768739e-05
0.25976563 234.60873 0.0010962784 -7.0504801e-05
0.26953125 242.25624 0.0011833012 9.5431948e-05
0.27929688 250.47585 0.0012023747 0.00013445083
0.2890625 255.07455 0.0012134016 2.4730234e-06
0.29882813 262.03625 0.0012904406 2.3079394e-05
0.30859375 272.79041 0.0013366342 3.7140899e-06
0.31835938 281.99292 0.00145033 0.00012947516
0.328125  289.19235 0.0014425814 3.8579478e-06
0.33789063 297.44751 0.001501739 -7.51595e-05
0.34765625 301.06775 0.0015358627 3.2596861e-05
0.35742188 302.88174 0.0015082955 4.8415397e-05
0.3671875 304.50873 0.0015309453 7.5711236e-05
0.37695313 322.85339 0.0016188622 -8.5721782e-05
0.38671875 338.55743 0.0017395616 1.4670708e-05
0.39648438 352.58331 0.0018253922 0.00011273337
0.40625   364.97906 0.0018705428 1.2655898e-05
0.41601563 375.3808 0.0019712746 3.3745921e-05
0.42578125 386.60385 0.0020542741 -3.0968222e-05
0.43554688 392.83582 0.0020855665 0.00012443488
0.4453125 399.16254 0.0021143258 5.2193656e-05
0.45507813 410.79126 0.0021970272 -4.7389833e-05
0.46484375 421.43488 0.0022286177 4.5571414e-05
0.47460938 436.02362 0.0023259223 1.956909e-05
