MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.019531 s         4/14/2017 5:46:59 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.02734375 0.49700961 -1.296401e-05
0.037109375 0.23085622 -3.0696392e-05
0.046875  0.32573938 -4.5597553e-05
0.056640625 0.68986791 -2.0265579e-05
0.06640625 0.84178519 -1.4007092e-05
0.076171875 1.011677 -4.6342611e-05
0.0859375 0.87965286 -2.3841858e-05
0.095703125 0.34783036 -5.6624413e-06
0.10546875 0.86540359 -1.385808e-05
0.11523438 1.911465 2.7865171e-05
0.125     2.62551   -4.3213367e-06
0.13476563 3.3653154 4.2617321e-05
0.14453125 3.2255425 5.6028366e-05
0.15429688 4.1815639 4.8279762e-05
0.1640625 6.114058  0.00013500452
0.17382813 7.9018807 0.00013709068
0.18359375 9.3818636 0.00023499131
0.19335938 10.241512 0.00023767352
0.203125  11.993571 0.00025555491
0.21289063 13.230536 0.00032618642
0.22265625 15.054605 0.00033661723
0.23242188 16.908106 0.00042065978
0.2421875 17.875004 0.00047832727
0.25195313 18.820204 0.00045031309
0.26171875 19.562916 0.00056385994
0.27148438 19.406918 0.00057429075
0.28125   19.820034 0.00060677528
0.29101563 19.818022 0.0006210804
0.30078125 19.826145 0.00069409609
0.31054688 20.445417 0.0007905066
0.3203125 20.986553 0.00084504485
0.33007813 21.38555 0.00087752938
0.33984375 22.079702 0.00097170472
0.34960938 22.413898 0.0010190904
0.359375  22.330416 0.0010681152
0.36914063 23.25423 0.0011256337
0.37890625 23.073702 0.0011985004
0.38867188 24.025068 0.0012035668
0.3984375 24.678745 0.0012902915
0.40820313 24.719032 0.0013807416
0.41796875 25.937016 0.0014302135
0.42773438 26.858896 0.0014910102
0.4375    27.798227 0.0015194714
0.44726563 28.65456 0.0015774369
0.45703125 29.581955 0.0016660988
0.46679688 29.967932 0.0016736984
0.4765625 31.542591 0.0017158687
0.48632813 32.204094 0.0018288195
0.49609375 32.754074 0.001861304
0.50585938 34.826603 0.0019373
0.515625  35.436039 0.0020053983
0.52539063 36.864559 0.0020040572
0.53515625 38.552898 0.0020699203
0.54492188 37.905312 0.0021038949
0.5546875 40.037743 0.0021658838
0.56445313 41.223763 0.0022213161
0.57421875 42.748116 0.0022658706
0.58398438 44.039524 0.002373457
0.59375   45.726563 0.002438426
0.60351563 46.983582 0.0024777651
0.61328125 48.210396 0.0025080144
0.62304688 49.999096 0.0025683641
0.6328125 50.47234  0.0026281178
0.64257813 52.473564 0.0026865304
0.65234375 53.544155 0.0027577579
0.66210938 54.539444 0.0027784705
0.671875  56.282635 0.0028769672
