MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.023438 s         4/20/2017 10:18:01 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.032226563 16.293041 -6.2435865e-05
0.041992188 18.608868 -5.4687262e-05
0.051757813 21.45376 -3.516674e-05
0.061523438 29.325708 2.3543835e-05
0.071289063 32.454987 3.5315752e-05
0.081054688 41.578522 9.8496675e-05
0.090820313 46.711826 0.00012174249
0.10058594 51.627605 0.00015720725
0.11035156 59.985516 0.00019818544
0.12011719 75.064453 0.00031605363
0.12988281 81.881134 0.00040322542
0.13964844 95.060913 0.00048041344
0.14941406 104.70964 0.0005851686
0.15917969 114.16991 0.0005941093
0.16894531 119.73125 0.00069871545
0.17871094 124.80527 0.00069916248
0.18847656 130.87167 0.0007429719
0.19824219 135.47926 0.00078618526
0.20800781 143.42911 0.00085920095
0.21777344 152.65364 0.00089451671
0.22753906 162.25021 0.0010082126
0.23730469 172.48462 0.001090914
0.24707031 184.98651 0.0011539459
0.25683594 198.54945 0.0012299418
0.26660156 205.90193 0.0013044477
0.27636719 215.31384 0.0013746321
0.28613281 220.82877 0.0014302135
0.29589844 228.80942 0.0015039742
0.30566406 229.88028 0.0014737248
0.31542969 234.1088 0.0015613437
0.32519531 242.27945 0.0015568733
0.33496094 248.42699 0.0015942752
0.34472656 256.39163 0.0016614795
0.35449219 263.47293 0.001707077
0.36425781 273.17099 0.0017432868
0.37402344 287.18658 0.0018078089
0.38378906 304.8833 0.0018873811
0.39355469 321.56995 0.0020292401
0.40332031 326.76126 0.0020124018
0.41308594 335.30597 0.002104938
0.42285156 345.32858 0.002156198
0.43261719 353.09387 0.0022180378
0.44238281 369.46716 0.0022815168
0.45214844 380.57278 0.0022946298
0.46191406 387.01312 0.0023637712
0.47167969 396.41815 0.0023888052
0.48144531 403.4408 0.0024855137
0.49121094 416.0549 0.0025266409
0.50097656 433.35181 0.0026158988
0.51074219 443.194  0.0026138127
0.52050781 455.21545 0.0027260184
0.53027344 469.60095 0.0027991831
0.54003906 481.42514 0.0028423965
0.54980469 491.5162 0.0029312074
0.55957031 508.79419 0.0030149519
0.56933594 519.23022 0.003053844
0.57910156 530.98309 0.0030988455
0.58886719 545.46704 0.0031964481
0.59863281 557.71735 0.0032570958
0.60839844 564.23041 0.0032916665
0.61816406 572.67053 0.0033047795
0.62792969 575.8396 0.0033700466
0.63769531 585.19434 0.0034363568
0.64746094 600.60205 0.0034692883
0.65722656 615.6969 0.0036096573
0.66699219 626.51953 0.0036264956
0.67675781 641.46576 0.0037412345
0.68652344 648.15826 0.0037318468
0.69628906 657.47711 0.0037649274
0.70605469 666.08246 0.0038537383
0.71582031 674.86548 0.0038968027
0.72558594 682.70917 0.003926903
