MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.015625 s         4/14/2017 8:03:13 PM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.024414063 22.339281 6.6757202e-05
0.034179688 21.513868 8.970499e-05
0.043945313 21.320972 1.3113022e-05
0.053710938 20.19776 7.9423189e-05
0.063476563 21.887178 8.7022781e-05
0.073242188 21.972786 6.92904e-05
0.083007813 21.991636 7.1525574e-05
0.092773438 22.895243 2.9504299e-05
0.10253906 25.522356 0.00013619661
0.11230469 26.501844 0.00011369586
0.12207031 27.418007 0.00012978911
0.13183594 31.037645 0.00015348196
0.14160156 33.639874 0.00015988946
0.15136719 36.239269 0.00021263957
0.16113281 41.766296 0.00030323863
0.17089844 47.763493 0.00031843781
0.18066406 56.187565 0.00041365623
0.19042969 60.814411 0.00042185187
0.20019531 67.537933 0.00052809715
0.20996094 73.143044 0.00056669116
0.21972656 74.791145 0.00056251884
0.22949219 75.228195 0.00054597855
0.23925781 81.769318 0.00058740377
0.24902344 89.740135 0.00069379807
0.25878906 97.887688 0.00076308846
0.26855469 99.550163 0.00076651573
0.27832031 99.971313 0.00073850155
0.28808594 101.72794 0.00078961253
0.29785156 104.59857 0.00079169869
0.30761719 109.47952 0.00087201595
0.31738281 118.85429 0.00090703368
0.32714844 122.83945 0.0009688735
0.33691406 125.90921 0.0010079145
0.34667969 131.10356 0.0010609627
0.35644531 135.44252 0.0010946393
0.36621094 142.93561 0.0011155009
0.37597656 151.45818 0.0012101233
0.38574219 158.2296 0.0012546778
0.39550781 161.02812 0.0013230741
0.40527344 163.54153 0.0012858212
0.41503906 164.90681 0.0013266504
0.42480469 172.43748 0.0014081597
0.43457031 179.77251 0.0014479458
0.44433594 185.6519 0.0015056133
0.45410156 191.6617 0.0014963746
0.46386719 198.9005 0.0015714765
0.47363281 208.89175 0.0016948581
0.48339844 216.89629 0.0017406046
0.49316406 225.81406 0.0018231571
0.50292969 235.77583 0.0018964708
0.51269531 241.98932 0.0019611418
0.52246094 253.70523 0.0020208955
0.53222656 270.32935 0.0021456182
0.54199219 281.70184 0.0022138655
0.55175781 294.05338 0.0023134053
0.56152344 302.27087 0.0024220347
0.57128906 306.41495 0.0024245679
0.58105469 311.65018 0.0024351478
0.59082031 325.96506 0.0025618076
0.60058594 331.74225 0.0026041269
0.61035156 334.67868 0.0026258826
0.62011719 337.27493 0.0027108192
0.62988281 341.46857 0.0027143955
0.63964844 351.09262 0.0027772784
0.64941406 363.84189 0.0029066205
0.65917969 374.5896 0.0029572845
0.66894531 376.30612 0.0029952824
0.67871094 388.80106 0.003054142
0.68847656 396.67459 0.0030915439
