MTS793|MPT|ENU|1|0|.|/|:|1|0|0|A

Data Acquisition                                            Time:     10.021484 s         4/20/2017 10:40:47 AM
Time      Ch 1 Force Ch 1 Displacement
s         lbf       in
0.030273438 17.786417 3.8743019e-05
0.040039063 17.031563 7.1525574e-06
0.049804688 16.259979 8.3446503e-06
0.059570313 15.823972 2.1606684e-05
0.069335938 18.231403 1.8030405e-05
0.079101563 19.771885 6.4820051e-05
0.088867188 21.36821 4.3362379e-05
0.098632813 26.282091 8.6277723e-05
0.10839844 33.069645 0.00014305115
0.11816406 40.797386 0.00020727515
0.12792969 48.180874 0.00028029084
0.13769531 50.241184 0.0002963841
0.14746094 56.142044 0.00029489398
0.15722656 61.583496 0.00039756298
0.16699219 69.411415 0.00045403838
0.17675781 79.083725 0.00052213669
0.18652344 90.514519 0.00062584877
0.19628906 96.257164 0.00068545341
0.20605469 100.4866 0.00069573522
0.21582031 106.06764 0.00072449446
0.22558594 112.1918 0.00080704689
0.23535156 123.53835 0.00086888671
0.24511719 134.50471 0.00093400478
0.25488281 142.05464 0.00099092722
0.26464844 148.52463 0.0010241568
0.27441406 158.69566 0.0011689961
0.28417969 164.65297 0.0012074411
0.29394531 171.14369 0.0012232363
0.30371094 177.48477 0.0012643635
0.31347656 180.14201 0.001295954
0.32324219 183.95131 0.0012968481
0.33300781 191.69868 0.0013996661
0.34277344 197.09052 0.0014209747
0.35253906 209.75186 0.0015100837
0.36230469 216.53822 0.0016205013
0.37207031 223.65445 0.0016248226
0.38183594 227.57629 0.0016959012
0.39160156 234.68672 0.0017347932
0.40136719 244.75032 0.0017917156
0.41113281 256.57114 0.0018772483
0.42089844 275.70102 0.0019904971
0.43066406 283.78748 0.002041012
0.44042969 292.39401 0.0020518899
0.45019531 304.12833 0.0021116436
0.45996094 307.14056 0.0021605194
0.46972656 317.66098 0.0022137165
0.47949219 336.55902 0.0022764504
0.48925781 344.76724 0.0023306906
0.49902344 357.88043 0.0024540722
0.50878906 363.36053 0.0024607778
0.51855469 374.54102 0.0025168061
0.52832031 384.2262 0.0025601685
0.53808594 394.30377 0.0025984645
0.54785156 403.36264 0.0026527047
0.55761719 412.75946 0.0027480721
0.56738281 425.50696 0.0028222799
0.57714844 445.4342 0.0028842688
0.58691406 451.90863 0.0029088557
0.59667969 459.7634 0.0029607117
0.60644531 475.91879 0.0030590594
0.61621094 488.55655 0.0031434
0.62597656 494.84131 0.0031346083
0.63574219 501.66312 0.003182441
0.64550781 513.19739 0.0032278895
0.65527344 533.96704 0.0033687055
0.66503906 542.13818 0.0034269691
0.67480469 558.14709 0.0034703314
0.68457031 570.55359 0.0035662949
0.69433594 582.18335 0.0035896897
0.70410156 592.90308 0.0036886334
0.71386719 601.5993 0.0037290156
0.72363281 615.79541 0.003837347
0.73339844 628.52649 0.0038570166
0.74316406 636.06537 0.0039047003
0.75292969 640.71375 0.0039018691
0.76269531 661.59674 0.0040584803
0.77246094 677.43634 0.004106313
0.78222656 688.9621 0.0041745603
0.79199219 699.48212 0.0042526424
0.80175781 708.2644 0.004299134
0.81152344 712.80371 0.0043271482
0.82128906 725.96021 0.0044122338
0.83105469 736.81793 0.0044600666
0.84082031 743.97614 0.0044749677
0.85058594 753.96326 0.0045070052
0.86035156 765.81238 0.0046102703
0.87011719 784.07068 0.004722476
0.87988281 794.41522 0.0047472119
0.88964844 799.17712 0.0048314035
0.89941406 808.56439 0.0048296154
0.90917969 820.32642 0.0049170852
0.91894531 832.37842 0.0049598515
0.92871094 837.0365 0.0049987435
0.93847656 841.23975 0.0050035119
0.94824219 845.66345 0.0050276518
0.95800781 851.83447 0.0050976872
0.96777344 868.33057 0.005197823
0.97753906 886.7179 0.0052993
0.98730469 895.9762 0.0053165853
0.99707031 902.67017 0.0053875148
1.0068359 915.9903  0.0054870546
1.0166016 925.83868 0.0054909289
1.0263672 932.21973 0.0055615604
1.0361328 944.94501 0.0056172907
1.0458984 948.17401 0.0056417286
1.0556641 949.08044 0.005723536
1.0654297 966.21045 0.0057816505
1.0751953 982.8847  0.0058685243
1.0849609 990.6123  0.0058995187
1.0947266 1002.9296 0.006006062
1.1044922 1012.8177 0.0061000884
1.1142578 1017.9774 0.0061048567
1.1240234 1032.0222 0.0061687827
1.1337891 1035.5177 0.0062210858
1.1435547 1043.6205 0.0062474608
1.1533203 1062.4739 0.0064256787
1.1630859 1069.9019 0.0064378977
1.1728516 1071.6926 0.0065095723
1.1826172 1084.4226 0.0065048039
1.1923828 1086.8018 0.0065620244
1.2021484 1090.2439 0.0065679848
1.2119141 1105.6677 0.006686002
1.2216797 1125.0798 0.0068083405
1.2314453 1125.7557 0.0068278611
1.2412109 1125.688  0.006840229
1.2509766 1133.6183 0.0068847835
1.2607422 1148.838  0.0069732964
1.2705078 1159.2896 0.0070330501
1.2802734 1171.1991 0.0070922077
1.2900391 1182.9592 0.0071929395
1.2998047 1194.2515 0.0072808564
1.3095703 1199.6409 0.0072991848
1.3193359 1203.8508 0.0073496997
1.3291016 1214.6918 0.0073954463
1.3388672 1223.0078 0.0074994564
1.3486328 1222.0968 0.0075246394
1.3583984 1225.2891 0.0075441599
1.3681641 1227.8008 0.0075651705
1.3779297 1233.6666 0.0076061487
1.3876953 1244.3585 0.0077030063
1.3974609 1267.7839 0.0078095496
1.4072266 1280.9298 0.007879734
1.4169922 1286.3669 0.0078955293
1.4267578 1289.4994 0.0079581141
1.4365234 1300.6301 0.008058995
1.4462891 1304.8506 0.008007139
1.4560547 1313.3542 0.0081448257
1.4658203 1321.4083 0.0082093477
1.4755859 1328.3241 0.0082695484
1.4853516 1335.4102 0.008328557
1.4951172 1342.6893 0.0084075332
1.5048828 1345.5642 0.0084087253
1.5146484 1353.2277 0.0084714592
1.5244141 1362.906  0.0085288286
1.5341797 1370.4789 0.0085669756
1.5439453 1377.7295 0.0086589158
1.5537109 1386.6144 0.0086511672
1.5634766 1395.1785 0.0087496638
1.5732422 1401.1038 0.0088129938
1.5830078 1408.5403 0.0088703632
1.5927734 1410.6953 0.0089201331
1.6025391 1422.626  0.0089512765
1.6123047 1430.3807 0.0090129673
1.6220703 1443.191  0.0091266632
1.6318359 1453.1432 0.0091806054
1.6416016 1461.3153 0.0092731416
1.6513672 1468.9998 0.0093102455
